items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000031	45	66	3	0	0.730208006052449	0.715276838532652	0.722665306380772
GC_00000032	29	66	4	0	0.686639594318848	0.783586520482093	0.731916710118279
GC_00000033	11	65	12	0	0.9926737741003	0.804805810627728	0.888922053125359
GC_00000034	43	65	4	0	0.723278446566118	0.837585519319389	0.776246446224949
GC_00000035	47	64	3	0	0.728971409380082	0.892962469229296	0.802676506487068
GC_00000036	41	63	3	0	0.749323077645558	0.927222180818827	0.828834145317109
GC_00000037	29	63	3	0	0.646787893329913	0.803344757632364	0.71661535661841
GC_00000038	47	63	2	0	0.755176357009844	0.767907988700156	0.761488960291312
GC_00000039	46	62	4	0	0.778644835004433	0.74273843692334	0.760267919781729
GC_00000040	28	62	6	0	0.583334551674732	0.760261803389551	0.660149123751454
GC_00000041	29	61	4	0	0.651012135021991	0.816634847628348	0.724478300262414
GC_00000042	28	61	5	0	0.697165841341919	0.734989495621933	0.715578201424768
GC_00000043	41	60	2	0	0.794619675174411	0.933694949489759	0.858561707327687
GC_00000044	29	60	4	0	0.77976441851105	0.872711268916132	0.823623851548395
GC_00000045	29	59	4	0	0.734705800370788	0.81068255178533	0.77082653331129
GC_00000046	40	59	2	0	0.757034508105828	0.927534434617735	0.833656084537326
GC_00000047	29	59	3	0	0.80015734635563	0.892586667261566	0.843848536250023
GC_00000048	30	59	6	0	0.683906787871622	0.827722665599531	0.748973431522932
GC_00000049	29	58	3	0	0.734638175699805	0.951422305901763	0.82909380150331
GC_00000050	44	58	2	0	0.730502266711387	0.917083046169173	0.81322798734821
GC_00000051	40	58	4	0	0.808348291371203	0.753718959447155	0.780078364390518
GC_00000052	29	57	3	0	0.615268644000107	0.694213871755284	0.652361558679603
GC_00000053	27	56	5	0	0.724048517938581	0.704219501024163	0.713996363778124
GC_00000054	45	56	2	0	0.738287232484119	0.883755846726891	0.804498556954512
GC_00000055	45	54	2	0	0.737704647088545	0.940021331237678	0.826664322272963
GC_00000056	47	54	2	0	0.777042398516983	0.825234015827042	0.800413478293097
GC_00000057	24	53	4	0	0.76268931231734	0.868449481674704	0.812140745349793
GC_00000058	46	52	2	0	0.791730953975139	0.870299517451771	0.829158164115519
GC_00000059	46	52	2	0	0.652395929908472	0.743985164241999	0.695186858511654
GC_00000060	28	52	3	0	0.696080618334801	0.723136643447226	0.709350732218768
GC_00000061	29	52	3	0	0.811846739715842	0.854444193685274	0.832600981026326
GC_00000062	47	52	2	0	0.84295961361352	0.91155998850435	0.875918689956648
GC_00000063	47	52	2	0	0.766531655251538	0.867390299807801	0.813848079098313
GC_00000064	19	52	6	0	0.666457540171948	0.861490389184998	0.751526612428009
GC_00000065	22	51	6	0	0.75663165666935	0.793476476337513	0.774616180685187
GC_00000066	44	51	2	0	0.775389833007704	0.764866172029433	0.77009205153379
GC_00000067	29	51	4	0	0.79432287463806	0.871224359786405	0.830998273260469
GC_00000068	35	51	2	0	0.696275080937676	0.893867700926524	0.782794869628684
GC_00000069	46	51	2	0	0.805295360361579	0.776874115380605	0.790829465860522
GC_00000070	33	51	2	0	0.752868850803601	0.854031005422268	0.800265603499474
GC_00000071	44	50	2	0	0.755810324205093	0.931418972180359	0.834475879292208
GC_00000072	46	50	3	0	0.769165196153077	0.838965273418098	0.802550416529733
GC_00000073	47	50	2	0	0.758496020661391	0.862406381327122	0.807120536840623
GC_00000074	26	50	3	0	0.715497205797433	0.774454885402437	0.743809562461002
GC_00000075	46	50	2	0	0.863676074239331	0.850914329286591	0.857247708748331
GC_00000076	45	50	4	0	0.75601051701902	0.874078569975474	0.81076868359482
GC_00000077	47	50	2	0	0.789519219223744	0.909252595381402	0.845166364323681
GC_00000078	7	50	15	0	0.372052905932105	0.729761491022363	0.49284141525596
GC_00000079	28	49	3	0	0.688218232839634	0.630767575882544	0.658241724112228
GC_00000080	29	49	4	0	0.78610732969274	0.761369362559838	0.773540615517185
GC_00000081	46	49	2	0	0.733854697438034	0.790694837836407	0.761215175447609
GC_00000082	47	49	2	0	0.7564947069576	0.895403101837629	0.820108487979174
GC_00000083	47	49	2	0	0.772451828415678	0.901346240010327	0.831936138851331
GC_00000084	43	49	2	0	0.776381171661165	0.800486781904477	0.788249725322866
GC_00000085	27	49	3	0	0.744902598934013	0.798364698887234	0.770707627820355
